road_code,district_code,block_code,road_type,name_of_candidate_road_from,name_of_candidate_road_to,length_road,habitation_benefited,habitation_weightage,population_Pj,population_Pi,total_population_P,δij,Accessibility_Index_Ai,total_weightage,utility_value,NPI
TR3,4,101,Through Route,Done Wangani Stn,Karve MDR 59 Road,10,,2.713333333,407,1124,1531,1,29.88033965,26.42666667,2.642666667,132.1118979
TR5,4,101,Through Route,Badlapur Jambhale,Devloli Moryacha pada,3,,1.686666667,253,766,1019,1,63.39483153,22.04666667,7.348888889,424.709549
TR13,4,101,Through Route,MDR 59 To Rahatoli Chon ,Moryachapada Ambeshive BK ,10.2,,3.166666667,175,968,1143,1,14.53004649,28.76666667,2.820261438,123.9375712
TR14,4,101,Through Route,Dwarli,Tisgaon,5.1,,56,8165,22924,31089,1,1180.509972,168,32.94117647,5072.012632
MRL2,4,101,Major Route Link,Tan,Kopryachiwadi,6.4,,0.573333333,86,896,982,1,12.26069246,9.833333333,1.536458333,88.67176808
LR1,0,0,Link Route,Yeve,Mamuchiwadi,2.5,,2,91,596,687,1,31.57845706,10.6,4.24,183.2561382
LR13,4,101,Link Route,SH 76 ,Dhavale Katkariwadi,3.6,,1.573333333,86,425,511,1,19.86844966,7.406666667,2.057407407,78.89622744
LR18,4,101,Link Route,TR 4,Dhavalpada Katkariwadi,1,,4.446666667,367,367,734,1,183.5,4.446666667,4.446666667,183.5
LR20,4,101,Link Route,Devloli Adivalipada,Nandigaon,1.35,,5.073333333,461,461,922,1,170.7407407,5.073333333,3.758024691,170.7407407
LR23,4,101,Link Route,Kanhor,Katkariwadi,0.75,,15,1350,1350,2700,1,900,15,20,900
TR9,4,101,Through Route,Shirgaon,Kulgaon,7.5,,9.82,1023,1023,2046,1,68.2,25.75333333,3.433777778,125.4524107
MRL4,4,101,Major Route Link, Jambhivali ,Bohonoli,5.3,,6.173333333,326,326,652,1,30.75471698,6.173333333,1.164779874,30.75471698
LR31,4,101,Link Route,Mangrul Kalyan,SH 80 Road,3,,31.94,1941,1941,3882,1,323.5,31.94,10.64666667,323.5
LR32,4,101,Link Route,Nevali,MIDC Road,0.65,,18.66,1599,1599,3198,1,1230,18.66,28.70769231,1230
LR33,4,101,Link Route,SH 85 ,Ambhe,1.5,,7.293333333,794,794,1588,1,264.6666667,7.293333333,4.862222222,264.6666667
LR36,4,101,Link Route,Koprachiwadi,Malangwadi,1.5,,2.44,366,366,732,1,122,2.44,1.626666667,122
LR37,4,101,Link Route,Bangarwadi,Katkariwadi,1,,0.693333333,104,119,223,1,55.49775785,3.486666667,3.486666667,114.9977578
LR41,4,101,Link Route,SH85,Kakadwal,0.5,,18.47333333,1571,1571,3142,1,1571,18.47333333,36.94666667,1571
LR44,4,101,Link Route,Asode,MRL 24,2.6,,12.16666667,1075,1075,2150,1,206.7307692,12.16666667,4.679487179,206.7307692
LR49,4,101,Link Route,TR 1 (SH 80) ,Chinchvali BK Road,3,,12.12,768,768,1536,1,128,12.12,4.04,128
LR52,4,101,Link Route,TR 3,Gaikarpada,0.5,,3.046666667,157,157,314,1,157,3.046666667,6.093333333,157
LR 54,4,101,Link Route,SH 80,Dhavalepada Vasar Road,0.85,,39.82666667,4174,4174,8348,1,2455.294118,39.82666667,46.85490196,2455.294118
LR56,4,101,Link Route,SH 76,Jambhale towards Kalyan Mohili Approch,0.6,,6.22,633,633,1266,1,527.5,6.22,10.36666667,527.5
LR 58,4,101,Link Route,Ganeshghat,Kharikpada,2.4,,7.286666667,516,793,1309,1,130.2482811,13.50666667,5.627777778,295.4566145
LR 60,4,101,Link Route,MDR 49,Ambeshiv BK,1.5,,15.52666667,979,979,1958,1,326.3333333,15.52666667,10.35111111,326.3333333
