rank,road_code,length_road,NPI
1,TR14,5.1,5072.013
2,LR54,0.85,2455.294
3,LR41,0.5,1571
4,LR32,0.65,1230
5,LR23 ,0.75,900
6,LR56,0.6,527.5
7,TR5,3,424.709
8,LR60,1.5,326.333
9,LR31,3,323.5
10,LR58,2.4,295.456
11,LR33,1.5,264.666
12,LR44,2.6,206.73
13,LR18,1,183.5
14,LR1,2.5,183.256
15,LR20,1.35,170.74
16,LR52,0.5,157
17,TR3,10,132.111
18,LR49,3,128
19,TR9,7.5,125.452
20,TR13,10.2,123.937
21,LR36,1.5,122
22,LR37,1,114.997
23,MRL 2,6.4,88.671
24,LR13,3.6,78.896
25,MRL 4,5.3,30.754
