rank,road_code,length_road,utility_value
1,LR54,0.85,46.85490196
2,LR41,0.5,36.94666667
3,TR14,5.1,32.94117647
4,LR32,0.65,28.70769231
5,LR23,0.75,20
6,LR31,3,10.64666667
7,LR56,0.6,10.36666667
8,LR60,1.5,10.35111111
9,TR5,3,7.348888889
10,LR52,0.5,6.093333333
11,LR58,2.4,5.627778
12,LR33,1.5,4.862222
13,LR44,2.6,4.679487
14,LR18,1,4.446667
15,LR1,2.5,4.24
16,LR49,3,4.04
17,LR20,1.35,3.758025
18,LR37,1,3.486667
19,TR9,7.5,3.433778
20,TR13,10.2,2.820261
21,TR3,10,2.642667
22,LR13,3.6,2.057407
23,LR36,1.5,1.626667
24,MRL 2,6.4,1.536458
25,MRL 4,5.3,1.16478
